time,open,high,low,close,Volume,ATR
1698762000,348.58,349.14,348.54,348.71,70689,0.6408749325751791
1698762300,348.72,348.83,348.32,348.71,56188,0.6315267231055228
1698762600,348.67,348.94,348.33,348.33,71964,0.6299891000265578
1698762900,348.33,348.33,347.545,347.58,103487,0.6410613071675157
1698763200,347.57,349.065,347.43,349,118018,0.7120569280841211
1698763500,348.92,349.2,348.53,348.56,96457,0.7090528617923992
1698763800,348.63,349.53,348.63,349.39,90631,0.72769194309294
1698764100,349.43,349.54,348.86,349.18,62923,0.7242853757291591
1698764400,349.25,349.58,349,349.15,46067,0.7139792774627894
1698764700,349.16,349.31,348.98,349.27,40291,0.6865521862154462
1698765000,349.29,349.29,348.75,349.16,54740,0.6760841729143444
1698765300,349.18,349.205,348.6,349.04,33601,0.6710067319918885
1698765600,349.05,349.1,348.42,348.55,46629,0.6716491082781827
1698765900,348.61,349.005,348.22,348.265,63062,0.6797456005440246
1698766200,348.285,348.95,348.1,348.91,64553,0.6919066290765918
1698766500,348.92,349.05,348.45,348.72,43097,0.6853418698568369
1698766800,348.73,348.86,348.03,348.295,66897,0.6956745934384942
1698767100,348.33,348.36,347.97,348.19,44925,0.6738406939071722
1698767400,348.2,348.44,348.04,348.21,68010,0.6542806443423725
1698767700,348.29,349.12,348.28,349.12,63743,0.6725463126036334
1698768000,349.06,349.16,348.63,348.66,60674,0.6623644331319474
1698768300,348.65,348.89,348.52,348.88,43064,0.6414812593368087
1698768600,348.88,348.96,348.15,348.16,82516,0.6535183122413225
1698768900,348.22,348.42,348.03,348.19,74005,0.6346955756526597
1698769200,348.17,348.51,348.08,348.4,128998,0.6200744631060415
1698769500,348.39,348.74,348.3,348.68,69443,0.6072120014556098
1698769800,348.69,349.37,348.64,349.05,98051,0.6159825727802105
1698770100,349.06,349.35,348.1,349.3,126744,0.6612695318673384
1698770400,349.335,349.73,349.09,349.43,95021,0.659750279591103
1698770700,349.42,349.645,349.35,349.62,65294,0.6336966881917355
1698771000,349.63,349.65,349.2,349.32,59290,0.6205754961780393
1698771300,349.35,349.74,349.29,349.63,63581,0.6083915321653215
1698771600,349.64,349.83,349.47,349.51,149072,0.5906492798677955
1698771900,349.55,349.855,349.55,349.81,86161,0.5731029027343835
1698772200,349.8,349.8,349.09,349.45,87309,0.5835955525390722
1698772500,349.46,349.73,349.45,349.54,65084,0.5619101559291406
1698772800,349.56,349.82,349.45,349.53,55052,0.5482022876484881
1698773100,349.57,349.64,349.22,349.55,67468,0.5390449813878789
1698773400,349.58,350.01,349.54,349.97,72984,0.5341131970030283
1698773700,349.92,350.06,349.65,349.97,78439,0.5252479686456709
1698774000,349.94,350.6,349.79,350.33,95638,0.5455873994566945
1698774300,350.32,350.32,350.08,350.09,52502,0.5244740137812164
1698774600,350.16,350.7,350.06,350.62,80364,0.5327258699397
1698774900,350.61,350.77,350.45,350.63,53000,0.5175311649440066
1698775200,350.655,350.86,350.5,350.68,81972,0.5062789388765786
1698775500,350.68,350.75,350.46,350.51,43048,0.4908304432425387
1698775800,350.51,350.65,350.34,350.359,53143,0.47791398301092897
